,index,timestamp,coursename,degree,heard_hs_counselor,heard_hs_teacher,heard_it_website,heard_ccm_admissions,heard_employer,heard_work_dev,heard_nj_work_dev,first_choice,interest_level,race,gender
497,199,2021/10/17 4:55:06 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,2.0,White/Caucasian,Man
498,200,2021/10/17 9:51:05 PM EST,CMP 128 Computer Science I,Information Technology,No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
499,201,2021/10/18 1:10:47 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,First Choice,,Choose not to reply,Man
500,202,2021/10/18 1:12:05 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,physical therapy,,Black/African American,Man
501,203,2021/10/18 2:21:19 PM EST,CMP 120 Foundations of Information Security,Information Technology,No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
502,204,2021/10/18 4:45:49 PM EST,CMP 130 Intro to IT,not enrolled in a degree program (votech infosec),,,,,,,,,4.0,White/Caucasian,Man
503,205,2021/10/18 4:48:14 PM EST,CMP 130 Intro to IT,votech infosec,,,,,,,,,4.0,White/Caucasian,Man
504,206,2021/10/18 8:25:20 PM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
505,207,2021/10/18 8:36:00 PM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Woman
506,208,2021/10/18 8:40:28 PM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Woman
507,209,2021/10/18 8:55:46 PM EST,CMP 130 Intro to IT,ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,First Choice,,Asian,Man
508,210,2021/10/18 9:47:46 PM EST,CMP 120 Foundations of Information Security,Information Technology,Yes,Yes,Yes,Don't recall,No,No,No,First Choice,,White/Caucasian,Woman
509,211,2021/10/18 10:01:01 PM EST,CMP 120 Foundations of Information Security,Information Technology,Yes,Yes,No,Yes,No,No,No,First Choice,,White/Caucasian,Woman
510,212,2021/10/18 10:47:33 PM EST,CMP 120 Foundations of Information Security,Information Technology,Yes,Don't recall,Yes,No,No,No,No,First Choice,,Choose not to reply,Man
511,213,2021/10/18 10:58:38 PM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,No,No,No,No,No,No,No,First Choice,,Asian,Man
512,214,2021/10/19 6:58:17 AM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,Don't recall,No,No,No,No,First Choice,,White/Caucasian,Man
513,215,2021/10/19 7:09:35 AM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,Yes,Yes,No,No,Yes,No,First Choice,,White/Caucasian,Man
514,216,2021/10/19 7:09:48 AM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Woman
515,217,2021/10/19 7:10:10 AM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
516,218,2021/10/19 7:12:18 AM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,No,No,No,No,No,First Choice,,Multi-Racial,Woman
517,219,2021/10/19 7:14:27 AM EST,CMP 130 Intro to IT,ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
518,220,2021/10/19 7:14:31 AM EST,CMP 120 Foundations of Information Security,Computer Science,No,No,No,No,No,No,No,Engineering,,Multi-Racial,Man
519,221,2021/10/19 7:14:53 AM EST,CMP 120 Foundations of Information Security,Information Technology,Yes,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
520,222,2021/10/19 7:15:07 AM EST,CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,Don't recall,No,No,No,No,Engineering,,Asian,Man
521,223,2021/10/19 7:17:04 AM EST,CMP 120 Foundations of Information Security,Undecided,,,,,,,,,3.0,White/Caucasian,Man
522,224,2021/10/19 7:19:28 AM EST,CMP 120 Foundations of Information Security,Information Technology,Yes,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
523,225,2021/10/19 7:23:06 AM EST,CMP 130 Intro to IT,ShareTime CSIP Program,Yes,No,No,No,No,No,No,First Choice,,Multi-Racial,Man
524,226,2021/10/19 12:05:44 PM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,4.0,White/Caucasian,Man
525,227,2021/10/20 10:17:31 AM EST,CMP 130 Intro to IT,Information Technology,No,No,Yes,Yes,No,No,No,Engineering,,Choose not to reply,Man
526,228,2021/10/20 10:21:23 AM EST,CMP 130 Intro to IT,Information Technology,No,No,Yes,No,No,No,No,Graphic Design,,Hispanic or Latino,Man
527,229,2021/10/20 10:27:46 AM EST,CMP 130 Intro to IT,Information Technology,No,Yes,Yes,Yes,No,Don't recall,Don't recall,Engineering,,White/Caucasian,Man
528,230,2021/10/20 10:53:56 AM EST,CMP 130 Intro to IT,Information Technology,No,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
529,231,2021/10/20 11:40:21 AM EST,CMP 130 Intro to IT,Information Technology,No,No,Yes,No,No,No,No,Science,,Choose not to reply,Prefer not to say
530,232,2021/10/20 12:13:05 PM EST,CMP 130 Intro to IT,Computer Science,No,No,Yes,Yes,No,No,No,Engineering,,White/Caucasian,Man
531,233,2021/10/20 1:16:43 PM EST,CMP 130 Intro to IT,Information Technology,No,No,Yes,No,No,No,No,Graphic Design,,Hispanic or Latino,Man
532,234,2021/10/20 1:21:19 PM EST,CMP 128 Computer Science I,Mechanical engineering and technology,,,,,,,,,2.0,White/Caucasian,Man
533,235,2021/10/20 8:18:53 PM EST,CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
534,236,2021/10/21 2:12:05 PM EST,CMP 130 Intro to IT,Computer Science,No,No,No,No,No,No,No,LIberal Arts,,Multi-Racial,Man
535,237,2021/10/21 2:22:28 PM EST,CMP 130 Intro to IT,Computer Science,No,No,No,No,No,No,No,Science,,Multi-Racial,Man
536,238,2021/10/21 3:13:46 PM EST,CMP 130 Intro to IT,Computer Science,Yes,Yes,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
537,239,2021/10/22 9:08:19 AM EST,CMP 130 Intro to IT,Information Technology,No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
538,240,2021/10/22 5:07:51 PM EST,CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
539,241,2021/10/22 7:34:04 PM EST,CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
540,242,2021/10/22 7:36:54 PM EST,CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Woman
541,243,2021/12/17 10:13:34 AM EST,CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
542,244,2021/12/17 1:11:40 PM EST,CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,Business,,White/Caucasian,Man
