,index,timestamp,coursename,degree,heard_hs_counselor,heard_hs_teacher,heard_it_website,heard_ccm_admissions,heard_employer,heard_work_dev,heard_nj_work_dev,first_choice,interest_level,race,gender
79,79,2020/09/14 5:10:18 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,3.0,White/Caucasian,Woman
80,80,2020/09/14 5:10:51 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,3.0,White/Caucasian,Man
81,81,2020/09/14 5:13:02 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,No,No,No,chemical Engineering,,White/Caucasian,Man
82,82,2020/09/14 5:13:04 PM EST,CMP 128 Computer Science I,Math-Education Specialization,,,,,,,,,3.0,Hispanic or Latino,Woman
83,83,2020/09/14 5:14:17 PM EST,CMP 128 Computer Science I,Mechanical Engineer,,,,,,,,,3.0,Hispanic or Latino,Man
84,84,2020/09/14 5:14:29 PM EST,CMP 128 Computer Science I,mechanical engineering tech,,,,,,,,,3.0,White/Caucasian,Man
85,85,2020/09/14 5:17:10 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",Yes,No,No,Yes,No,No,No,First Choice,,White/Caucasian,Man
86,86,2020/09/14 5:20:03 PM EST,CMP 128 Computer Science I,"Technical Studies, Applied Associate of Science",No,No,No,No,No,No,No,This is a requirement for my mechanical engineering major ,,Hispanic or Latino,Man
87,87,2020/09/14 5:20:38 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,Nursing,,Hispanic or Latino,Man
88,88,2020/09/14 5:23:27 PM EST,CMP 128 Computer Science I,Elec Engineering Tech,,,,,,,,,5.0,White/Caucasian,Man
89,89,2020/09/14 8:31:52 PM EST,CMP 239 Internet & Web Page Design,"Computer Science, Associate of Science",No,No,No,No,No,No,No,Math,,Black/African American,Woman
90,90,2020/09/14 9:13:39 PM EST,CMP 128 Computer Science I,Associate's Degree,,,,,,,,,3.0,Asian,Woman
91,91,2020/09/14 9:13:45 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
92,92,2020/09/15 2:40:49 AM EST,CMP 128 Computer Science I,Electronics Engineering Technology,,,,,,,,,5.0,Hispanic or Latino,Man
93,93,2020/09/16 6:47:42 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,Yes,No,Yes,No,Don't recall,Don't recall,my first major was biology,,Asian,Woman
94,94,2020/09/16 6:48:24 AM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,3.0,Asian,Woman
95,95,2020/09/16 10:44:06 AM EST,CMP 128 Computer Science I,Electronics Engineering Technology,,,,,,,,,4.0,Hispanic or Latino,Man
96,96,2020/09/16 12:12:03 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,3.0,White/Caucasian,Man
97,97,2020/09/16 1:09:14 PM EST,CMP 128 Computer Science I,Mathematics,,,,,,,,,3.0,White/Caucasian,Man
98,98,2020/09/16 1:10:23 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,No,No,Yes,No,No,No,First Choice,,Hispanic or Latino,Man
99,99,2020/09/16 1:11:33 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",Yes,Yes,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Prefer not to say
100,100,2020/09/16 1:12:11 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,3.0,Asian,Woman
101,101,2020/09/16 1:12:18 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
102,102,2020/09/16 1:13:34 PM EST,CMP 128 Computer Science I,Mathematics Associate of Science,,,,,,,,,4.0,White/Caucasian,Woman
103,103,2020/09/16 1:13:36 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,2.0,White/Caucasian,Man
104,104,2020/09/16 1:14:34 PM EST,CMP 128 Computer Science I,"Technical Studies, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
105,105,2020/09/16 1:14:48 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,No,No,No,First Choice,,American Indian/Native American/Alaska Native,Man
106,106,2020/09/16 1:20:47 PM EST,CMP 128 Computer Science I,MET,,,,,,,,,3.0,White/Caucasian,Man
107,107,2020/09/17 12:05:35 AM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
108,108,2020/09/17 12:23:10 AM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,1.0,Asian,Man
109,109,2020/09/17 12:59:31 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
110,110,2020/09/17 1:14:08 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,No,Culinary ,,White/Caucasian,Man
111,111,2020/09/17 1:15:04 PM EST,CMP 131 Fundamentals of Programming (Python),Information Security Certificate of Achievement,No,No,No,Yes,No,No,No,First Choice,,White/Caucasian,Woman
112,112,2020/09/17 1:15:58 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,I changed from Computer Science to IT,,Hispanic or Latino,Man
113,113,2020/09/17 1:16:33 PM EST,CMP 131 Fundamentals of Programming (Python),"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Woman
114,114,2020/09/17 1:16:41 PM EST,CMP 131 Fundamentals of Programming (Python),Information Security Certificate of Achievement,Yes,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
115,115,2020/09/17 1:17:25 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,music engineering,,White/Caucasian,Man
116,116,2020/09/17 1:18:26 PM EST,CMP 131 Fundamentals of Programming (Python),"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
117,117,2020/09/17 1:18:42 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,Yes,Yes,Yes,First Choice,,Asian,Man
118,118,2020/09/17 1:22:17 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,Yes,No,First Choice,,Asian,Man
119,119,2020/09/17 1:22:43 PM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Asian,Man
120,120,2020/09/17 1:25:09 PM EST,CMP 131 Fundamentals of Programming (Python),Non Degree seeking,,,,,,,,,3.0,Hispanic or Latino,Man
121,121,2020/09/17 1:26:27 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
122,122,2020/09/17 2:07:18 PM EST,CMP 128 Computer Science I,"Mathematics Option, Applied Associate of Science",,,,,,,,,4.0,Choose not to reply,Prefer not to say
123,123,2020/09/17 2:13:10 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
124,124,2020/09/17 2:37:58 PM EST,CMP 128 Computer Science I,Challenger Program,No,No,No,No,No,No,No,I am a high school student,,White/Caucasian,Man
125,125,2020/09/19 10:12:54 AM EST,CMP 128 Computer Science I,Mechanical Engineering & Technology,,,,,,,,,4.0,White/Caucasian,Man
126,126,2020/09/20 1:35:21 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
127,127,2020/09/20 1:35:25 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
128,128,2020/09/20 7:23:34 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,2.0,White/Caucasian,Man
129,129,2020/09/20 10:47:44 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Woman
130,130,2020/09/21 7:01:55 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,Yes,No,No,No,No,No,First Choice,,White/Caucasian,Man
131,131,2020/09/21 7:16:50 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
132,132,2020/09/21 7:17:49 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Don't recall,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
133,133,2020/09/21 7:18:07 AM EST,CMP 131 Fundamentals of Programming (Python),Non Degree seeking,,,,,,,,,3.0,Asian,Woman
134,134,2020/09/21 7:18:27 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,No,No,Yes,Yes,No,No,No,First Choice,,Asian,Woman
135,135,2020/09/21 7:18:40 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,Yes,Don't recall,No,No,No,No,First Choice,,Asian,Man
136,136,2020/09/21 7:19:34 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
137,137,2020/09/21 7:19:46 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
138,138,2020/09/21 7:20:00 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Don't recall,No,No,No,No,No,No,First Choice,,Choose not to reply,Prefer not to say
139,139,2020/09/21 7:20:55 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,No,Yes,No,No,No,No,First Choice,,Black/African American,Woman
140,140,2020/09/21 7:21:08 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
141,141,2020/09/21 7:21:18 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,No,No,Yes,Yes,No,No,No,,,White/Caucasian,Woman
142,142,2020/09/21 7:22:01 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,Yes,Don't recall,No,No,No,No,First Choice,,Asian,Man
143,143,2020/09/21 7:22:08 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,No,Yes,No,No,No,No,First Choice,,Multi-Racial,Man
144,144,2020/09/21 7:22:16 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,Don't recall,No,No,No,No,No,First Choice,,White/Caucasian,Man
145,145,2020/09/21 7:22:18 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
146,146,2020/09/21 7:22:29 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,Don't recall,Don't recall,Don't recall,No,No,No,First Choice,,White/Caucasian,Man
147,147,2020/09/21 7:22:46 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
148,148,2020/09/21 7:23:55 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
149,149,2020/09/21 7:29:04 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Don't recall,No,No,No,No,No,No,First Choice,,Choose not to reply,Prefer not to say
150,150,2020/09/21 7:37:15 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,No,Yes,Yes,No,No,No,First Choice,,Asian,Woman
151,151,2020/09/21 8:03:27 AM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,Yes,No,No,No,No,No,No,First Choice,,Asian,Man
152,152,2020/09/21 11:38:33 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,Don't recall,No,No,No,No,No,First Choice,,White/Caucasian,Man
153,153,2020/09/21 12:00:19 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,Yes,No,Yes,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
154,154,2020/09/21 12:01:45 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Choose not to reply,Man
155,155,2020/09/21 12:02:30 PM EST,CMP 128 Computer Science I,Web Development Certificate of Achievement,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
156,156,2020/09/21 12:02:57 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
157,157,2020/09/21 12:03:11 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,Nursing,,Hispanic or Latino,Man
158,158,2020/09/21 12:04:01 PM EST,CMP 128 Computer Science I,"Technical Studies, Applied Associate of Science",No,No,No,No,No,No,No,im a mec tech major ,,White/Caucasian,Man
159,159,2020/09/21 12:04:02 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
160,160,2020/09/21 12:04:13 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,Yes,Yes,No,No,No,Mechanical Engineering,,White/Caucasian,Man
161,161,2020/09/21 12:04:22 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,Exercise Science,,White/Caucasian,Man
162,162,2020/09/21 12:04:57 PM EST,CMP 128 Computer Science I,minoring in computer science,,,,,,,,,3.0,Asian,Man
163,163,2020/09/21 12:05:23 PM EST,CMP 128 Computer Science I,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,No,No,No,First Choice,,Asian,Man
164,164,2020/09/21 12:05:26 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
165,165,2020/09/21 12:06:04 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",Yes,Yes,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
166,166,2020/09/21 12:06:20 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,4.0,White/Caucasian,Man
167,167,2020/09/21 12:06:23 PM EST,CMP 128 Computer Science I,Mechanical  Engineering,,,,,,,,,5.0,Hispanic or Latino,Man
168,168,2020/09/21 12:06:49 PM EST,CMP 128 Computer Science I,Technology Engineering ,,,,,,,,,4.0,Hispanic or Latino,Man
169,169,2020/09/21 12:58:59 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Hispanic or Latino,Man
170,170,2020/09/21 9:43:22 PM EST,CMP 131 Fundamentals of Programming (Python),ShareTime CSIP Program,No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
171,171,2020/09/22 10:02:13 AM EST,CMP 128 Computer Science I,liberal arts major,,,,,,,,,2.0,White/Caucasian,Man
172,172,2020/09/22 10:05:23 AM EST,CMP 128 Computer Science I,liberal Arts Major,,,,,,,,,1.0,White/Caucasian,Man
173,173,2020/09/22 11:13:02 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,No,Yes,No,No,No,First Choice,,Hispanic or Latino,Man
174,174,2020/09/22 1:39:29 PM EST,CMP 120 Foundations of Information Security,Information Security Certificate of Achievement,No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
175,175,2020/09/22 4:02:35 PM EST,CMP 120 Foundations of Information Security,Information Security Certificate of Achievement,No,No,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Music Recording,,White/Caucasian,Man
176,176,2020/09/22 4:10:01 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Choose not to reply,Man
177,177,2020/09/22 7:07:22 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,Biology,,Asian,Man
178,178,2020/09/22 8:25:14 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Multi-Racial,Woman
179,179,2020/09/22 8:28:35 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Multi-Racial,Woman
180,180,2020/09/22 8:29:06 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,First Choice,,Multi-Racial,Woman
181,181,2020/09/22 8:30:10 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology  ,,,,,,,,,4.0,Hispanic or Latino,Man
182,182,2020/09/22 9:54:45 PM EST,CMP 128 Computer Science I,Undecided,,,,,,,,,2.0,White/Caucasian,Man
183,183,2020/09/23 1:11:50 AM EST,CMP 128 Computer Science I,Chemistry,,,,,,,,,5.0,Hispanic or Latino,Man
184,184,2020/09/23 9:56:12 AM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,No,Yes,No,First Choice,,Asian,Man
185,185,2020/09/23 12:29:26 PM EST,CMP 120 Foundations of Information Security,"Computer Science, Associate of Science",No,No,No,No,No,No,No,Public Health,,Hispanic or Latino,Man
186,186,2020/09/23 12:47:15 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nursing,,Black/African American,Woman
187,187,2020/09/23 1:31:06 PM EST,CMP 128 Computer Science I,EDAM,,,,,,,,,3.0,White/Caucasian,Woman
188,188,2020/09/23 1:33:35 PM EST,CMP 128 Computer Science I,Non Degree seeking,,,,,,,,,3.0,Hispanic or Latino,Woman
189,189,2020/09/23 1:33:47 PM EST,CMP 128 Computer Science I,share time (EDAM),,,,,,,,,4.0,Choose not to reply,Man
190,190,2020/09/23 1:33:52 PM EST,CMP 128 Computer Science I,EDAM,,,,,,,,,4.0,White/Caucasian,Man
191,191,2020/09/23 1:35:16 PM EST,CMP 128 Computer Science I,ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,First Choice,,Black/African American,Man
192,192,2020/09/23 1:35:48 PM EST,CMP 128 Computer Science I,Challenger Program,Yes,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
193,193,2020/09/23 1:37:37 PM EST,CMP 128 Computer Science I,Challenger Program,No,No,No,No,No,No,No,Engineering,,Hispanic or Latino,Man
194,194,2020/09/23 2:19:17 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,No,Don't recall,No,No,No,First Choice,,White/Caucasian,Non-binary
195,195,2020/09/23 2:38:34 PM EST,CMP 131 Fundamentals of Programming (Python),Undecided,,,,,,,,,5.0,Hispanic or Latino,Man
196,196,2020/09/23 2:38:59 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,First Choice,,Asian,Man
197,197,2020/09/23 2:39:06 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Multi-Racial,Prefer not to say
198,198,2020/09/23 2:39:22 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,Liberal Arts ,,Asian,Man
199,199,2020/09/23 2:39:33 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,No,Yes,No,No,No,No,First Choice,,Asian,Man
200,200,2020/09/23 2:39:44 PM EST,CMP 131 Fundamentals of Programming (Python),Undecided,,,,,,,,,4.0,Asian,Man
201,201,2020/09/23 2:39:51 PM EST,CMP 131 Fundamentals of Programming (Python),"Computer Science, Associate of Science",No,No,No,No,No,No,No,First Choice,,Asian,Man
202,202,2020/09/23 2:40:06 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,No,Computer Science,,Asian,Man
203,203,2020/09/23 2:40:11 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,No,Yes,Yes,No,No,No,First Choice,,Hispanic or Latino,Man
204,204,2020/09/23 2:40:12 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,Yes,No,No,No,No,No,First Choice,,Black/African American,Man
205,205,2020/09/23 2:40:53 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
206,206,2020/09/23 2:41:18 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,Yes,No,No,No,No,No,Music Recording,,White/Caucasian,Man
207,207,2020/09/23 2:42:50 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,Yes,Yes,No,No,No,No,Biology,,Asian,Man
208,208,2020/09/23 2:42:53 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,Business Administration ,,Hispanic or Latino,Man
209,209,2020/09/23 2:46:06 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",Yes,No,No,Don't recall,No,No,No,First Choice,,Multi-Racial,Prefer not to say
210,210,2020/09/23 4:10:09 PM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",Yes,Yes,Yes,No,No,No,No,First Choice,,Multi-Racial,Woman
211,211,2020/09/23 9:11:48 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,Business Administration ,,Hispanic or Latino,Man
212,212,2020/09/23 9:30:16 PM EST,CMP 128 Computer Science I,business admin,,,,,,,,,2.0,White/Caucasian,Man
213,213,2020/09/23 10:23:41 PM EST,CMP 120 Foundations of Information Security,Information Security Certificate of Achievement,No,No,No,No,No,No,No,First Choice,,Hispanic or Latino,Man
214,214,2020/09/23 10:35:25 PM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",No,No,Yes,No,No,No,No,Hospitality Major,,Asian,Woman
215,215,2020/09/23 11:19:37 PM EST,CMP 128 Computer Science I,Information Technology ,,,,,,,,,4.0,Asian,Man
216,216,2020/09/24 12:42:08 AM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,5.0,Multi-Racial,Woman
217,217,2020/09/24 11:08:21 AM EST,CMP 239 Internet & Web Page Design,"Computer Science, Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,Hispanic or Latino,Man
218,218,2020/09/24 11:10:48 AM EST,CMP 239 Internet & Web Page Design,"Digital Media Technology, Applied Associate of Science",Yes,Yes,No,No,No,No,No,computer science ,,Black/African American,Man
219,219,2020/09/24 11:19:18 AM EST,CMP 128 Computer Science I,"Computer Science, Associate of Science",Yes,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
220,220,2020/09/24 11:22:45 AM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",Yes,No,Yes,No,Yes,No,No,Criminal Justice,,Hispanic or Latino,Man
221,221,2020/09/24 11:23:03 AM EST,CMP 128 Computer Science I,Business Administration,,,,,,,,,3.0,White/Caucasian,Woman
222,222,2020/09/24 11:50:04 AM EST,CMP 128 Computer Science I,"CIS Game Development Option, Applied Associate of Science",No,No,Yes,No,No,No,No,"I already have an A.S. Degree in Public Administration from CCM and this is my newest venture, and what I want to do for the rest of my life (Be involved with computers and gaming)",,White/Caucasian,Man
223,223,2020/09/24 12:13:49 PM EST,CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,4.0,Multi-Racial,Man
224,224,2020/09/24 12:16:06 PM EST,CMP 131 Fundamentals of Programming (Python),Non Degree seeking,,,,,,,,,5.0,Hispanic or Latino,Woman
225,225,2020/09/24 12:16:45 PM EST,CMP 128 Computer Science I,Mechanical Engineering Technology,,,,,,,,,3.0,White/Caucasian,Man
226,226,2020/09/24 12:29:58 PM EST,CMP 239 Internet & Web Page Design,"Information Technology, Applied Associate of Science",Yes,Yes,No,Yes,No,No,No,First Choice,,White/Caucasian,Man
227,227,2020/09/24 12:32:56 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",No,No,No,No,No,No,No,First Choice,,White/Caucasian,Man
228,228,2020/09/24 12:34:43 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",Yes,Yes,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
229,229,2020/09/24 12:43:05 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",No,No,Yes,Yes,Yes,Yes,No,First Choice,,Asian,Man
230,230,2020/09/24 1:03:07 PM EST,CMP 130 Intro to IT,Undecided,,,,,,,,,4.0,White/Caucasian,Man
231,231,2020/09/24 1:03:44 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Asian,Man
232,232,2020/09/24 1:06:24 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",Yes,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Man
233,233,2020/09/24 1:07:54 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,No,First Choice,,White/Caucasian,Man
234,234,2020/09/24 1:13:30 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",No,No,No,Yes,No,No,No,Hospitality & Biology ,,Black/African American,Man
235,235,2020/09/24 1:15:45 PM EST,CMP 130 Intro to IT,"Computer Science, Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Hispanic or Latino,Woman
236,236,2020/09/24 1:23:11 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,First Choice,,White/Caucasian,Man
237,237,2020/09/24 1:28:06 PM EST,CMP 131 Fundamentals of Programming (Python),"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,Yes,First Choice,,White/Caucasian,Man
238,238,2020/09/24 1:28:49 PM EST,CMP 120 Foundations of Information Security,"Information Technology, Applied Associate of Science",Yes,No,Yes,Yes,No,No,No,First Choice,,Asian,Man
239,239,2020/09/24 1:30:00 PM EST,CMP 130 Intro to IT,Challenger Program,Yes,No,No,No,No,No,No,First Choice,,Multi-Racial,Man
240,240,2020/09/24 1:31:23 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,First Choice,,Multi-Racial,Man
241,241,2020/09/24 1:59:10 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",No,No,Yes,Yes,No,No,No,Radiography,,White/Caucasian,Woman
242,242,2020/09/24 2:03:06 PM EST,CMP 130 Intro to IT,"Information Technology, Applied Associate of Science",No,No,Yes,No,No,No,No,First Choice,,White/Caucasian,Woman
